"時間戳記","請問您目前就讀的學校是?(可不輸入學校名稱，如XX高中)","請問貴班有幾人","請問您就讀的學校位於哪個縣市","請回答下列問題 [我認為教室明亮度是足夠的]","請回答下列問題 [我認為教室通風度是足夠的]","請回答下列問題 [我認為教室的空間是足夠的]","請回答下列問題 [我認為椅子坐起來是舒服的]","請回答下列問題 [我認為來自課程外的聲響不會影響學習]","請回答下列問題 [我認為冷氣可以使學習環境更舒適]","請回答下列問題 [我認為學習環境還可以更好]","您對於現今的學習環境滿意度為"
"2022/12/03 5:38:16 下午 GMT+8","正義高中","31","高雄市","同意","同意","非常不同意","不同意","非常不同意","非常同意","非常同意","7"
"2022/12/03 5:38:17 下午 GMT+8","正義高中","31","高雄市","非常同意","同意","同意","非常同意","不同意","非常同意","同意","8"
"2022/12/03 5:50:21 下午 GMT+8","XX國中","32","新北市","同意","同意","同意","同意","同意","非常同意","非常同意","7"
"2022/12/03 5:59:40 下午 GMT+8","樹德家商","52","高雄市","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","5"
"2022/12/03 7:04:04 下午 GMT+8","後壁高中","3","台南市","非常同意","非常同意","非常同意","不同意","不同意","非常同意","非常同意","8"
"2022/12/03 7:42:17 下午 GMT+8","西苑高中","31","台中市","同意","同意","不同意","同意","不同意","非常同意","同意","8"
"2022/12/03 7:54:41 下午 GMT+8","東興國中","30","桃園市","非常同意","非常同意","不同意","同意","非常同意","非常同意","非常同意","8"
"2022/12/03 7:55:17 下午 GMT+8","雄女","40","高雄市","同意","同意","不同意","不同意","不同意","同意","同意","6"
"2022/12/03 7:57:58 下午 GMT+8","CYSH","29","高雄市","同意","同意","同意","不同意","同意","同意","同意","8"
"2022/12/03 7:59:38 下午 GMT+8","正義","31","高雄市","非常同意","非常同意","不同意","不同意","不同意","非常同意","同意","8"
"2022/12/03 8:27:27 下午 GMT+8"," 高雄高工","35","高雄市","同意","非常不同意","非常不同意","非常不同意","非常不同意","非常同意","同意","7"
"2022/12/03 8:29:40 下午 GMT+8","XX高中","30","新北市","非常不同意","非常不同意","非常不同意","非常不同意","同意","非常同意","非常同意","10"
"2022/12/03 8:30:01 下午 GMT+8","高雄高工","35","高雄市","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","8"
"2022/12/03 8:30:42 下午 GMT+8","台灣大學","62","台北市","同意","同意","同意","同意","同意","同意","同意","8"
"2022/12/03 8:31:36 下午 GMT+8","正義高中","31","高雄市","同意","同意","同意","同意","同意","同意","同意","7"
"2022/12/03 8:37:14 下午 GMT+8","輸人破專","31","高雄市","不同意","不同意","不同意","不同意","不同意","不同意","非常同意","2"
